title,company,ratings,reviews,years,location,days,salary,skills,key_skills
R&D- Data Science and Analytics Lead,Pepsi Foods,4.1,2308,2-5 ,Hyderabad,2,Not disclosed,SimulationAgile developmentAnalyticalCADMachine learningManagementStakeholder managementbig data,"Machine learning,big data"
Specialist- Data Science & Analytics,Carrier,3.8,419,2-5 ,Bengaluru,2,Not disclosed,Supply chaindata scienceNeural networksAnalyticalArtificial IntelligenceMachine learningData processingForecasting,"ai,data science,Neural networks,Artificial Intelligence,Machine learning,Data processing"
Data Science Analytics Analyst,Accenture,4.0,49777,3-5 ,Bengaluru,3,Not disclosed,people analyticsdata miningmachine learningradvanced exceladvanced analyticspythondata analysis,"data mining,machine learning,excel,python,data analysis"
Data Science & Analytics Engagement Lead,CANPACK,4.3,236,0-15,Pune,1,Not disclosed,data brickssql dwdata scienceenterprise reportingdata miningpower bimachine learningreporting tools,"sql,data science,data mining,power bi,machine learning"
"Assoc Manager, Data Science Analytics",,,,3-6 ,Bengaluru,3,Not disclosed,excelrpythondata miningquantitativeanalysis toolsdata warehousing conceptspowerpoint,"excel,python,data mining"
"Consultant, Data Science & Analytics",Transunion,3.9,340,4-8 ,"Pune, Chennai",4,Not disclosed,Logistic regressionC++Operations researchAnalyticalConsultingBusiness intelligenceMacrosFinancial services,C++
L & D Trainer - Python & Data Science / Data Analytics,,,,9-14,"Mumbai, Delhi / NCR, Bengaluru",9,Not disclosed,PythonData ScienceSASIT TrainingTraining and DevelopmentData AnalyticsStatisticsMachine Learning,"Python,Data Science,SAS,ai,ai,Data Analytics,Statistics,Machine Learning"
Freelancing Data Science and Data Analytics Trainer Opportunity,Imarticus,4.2,277,4-9 ,Hyderabad,4,Not disclosed,TrainerData ScienceData AnalyticsPower BiArtificial IntelligenceNatural Language ProcessingHadoopBig Data,"ai,Data Science,Data Analytics,Power Bi,Artificial Intelligence,Big Data"
Lead Data Science Consultant For HL Marketing Analytics,Wells Fargo,4.0,5650,8-9 ,Hyderabad,8,Not disclosed,PPCSocial mediaMarket researchSEMSEODigital marketingForecastingOperations,
CMG - Research & Insights - Data Science Specialist - Senior Analyst,Deloitte,3.9,15927,3-8 ,Hyderabad,3,Not disclosed,Data Sciencetime series analysisRGenerative AINLPAdvanced analyticsneural networksStatistics,"Data Science,time series analysis,AI,NLP,neural networks,Statistics"
Data Science Senior Analyst,Pepsi Foods,4.1,2308,1-4 ,Hyderabad,1,Not disclosed,Supply chainAnalystAutomationAnalyticalMachine learningBusiness strategyOpen sourceSQL,"ai,Automation,Machine learning,SQL"
Data Science Senior Analyst,Pepsi Foods,4.1,2308,1-4 ,Hyderabad,1,Not disclosed,Supply chainStatistical programmingData analysisAutomationAnalyticalMachine learningAgileOpen source,"ai,Data analysis,Automation,Machine learning"
Engineer III Consultant-Data Science,Verizon,4.1,1283,4-8 ,"Hyderabad, Chennai",4,Not disclosed,Data ScienceRTableauQlikdata visualization toolsSQLPythonScience,"Data Science,visualization,SQL,Python"
Manager Data Science,Blend,3.7,10,4-7 ,Hyderabad,4,Not disclosed,pythonrdata sciencepredictive modelingmachine learningcommunication skillssqlstatistics,"python,data science,machine learning,sql,statistics"
Data Science Consultant,,,,2-4 ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2,Not disclosed,data bricksrisk managementpythongcpmicrosoft azuremodel riskawsmachine learning,"python,azure,machine learning"
Data Science Actuarial Analyst,,,,2-5 ,Bengaluru,2,Not disclosed,Computer scienceGITFinancial reportingProgrammingActuarialData qualityData analyticsIFRS,Data analytics
Senior Engineer Consultant - Data Science,Verizon,4.1,1283,4-8 ,"Hybrid - Hyderabad, Chennai",4,Not disclosed,Data Sciencestorytellingdata analysisPredictive modelingTableauQlikPrescriptive modelingSQL,"Data Science,data analysis,SQL"
Senior Manager - Data Science,Verizon,4.1,1283,6-11,"Hybrid - Hyderabad, Chennai",6,Not disclosed,Data Sciencecustomer engagementFinancial modelsPredictive modelingTableauQlikPrescriptive modelingSQL,"Data Science,SQL"
Data Science Manager,Springml India,4.0,45,7-12,Hybrid - Hyderabad,7,Not disclosed,Natural Language ProcessingPythonTensorflowPytorchGCPAzure CloudArtificial IntelligenceCloud,"Python,Tensorflow,Azure,Artificial Intelligence"
Data Science Engineer,EY,3.6,9280,6-11,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",6,Not disclosed,Data ScienceNLPPysparkAws SagemakerAzure DatabricksDemand ForecastingPythonScience,"Data Science,NLP,Pyspark,Azure,Python"
Data Science Trainee,Ray Business Technologies,3.2,73,0-1 ,Hyderabad,0,Not disclosed,Data ScienceArtificial IntelligenceNeural NetworksMachine Learningpython programmingNatural Language ProcessingDeep LearningProgramming,"Data Science,Artificial Intelligence,Neural Networks,Machine Learning,python,Deep Learning"
